Unnamed: 0,Date,Price,MarketCap,realized_cap,ZScore
3278,2019-08-08,11938.2346108708,213284721643.4541,98879920874.26685,2.0625429758613643
3279,2019-08-09,11858.3410984804,211879159135.55933,99024774396.57596,2.0316383356391707
3280,2019-08-10,11303.7305618936,201990979492.76685,99059988972.13963,1.8506318090803104
3281,2019-08-11,11530.195242256,206059820885.57,99185395729.16992,1.91895951640143
3282,2019-08-12,11384.6962465809,203478488679.6491,99290264470.85834,1.8683149315324212
3283,2019-08-13,10867.05475827,194248017471.83652,99410801156.5898,1.6987019314337846
3284,2019-08-14,10024.3795917008,179204290657.19818,99454363521.12675,1.4271705257026823
3285,2019-08-15,10310.0858696669,184332051345.99948,99487808265.5832,1.5168545681148482
3286,2019-08-16,10373.3219028054,185481697254.62265,99549249196.61464,1.5347891414302444
3287,2019-08-17,10207.1555616598,182526867172.9087,99553023262.73662,1.480549698808779
3288,2019-08-18,10331.3099760374,184763298771.59067,99592215968.72522,1.5182779830997606
3289,2019-08-19,10884.6297744009,194680948459.32904,99694072057.17873,1.691360116072778
3290,2019-08-20,10771.3923793688,192676200717.7093,99840813659.08728,1.6512567547715298
3291,2019-08-21,10096.8302238457,180626951935.48956,99817220052.67062,1.436059265323009
3292,2019-08-22,10119.7145248393,181054175972.34903,99817578339.5192,1.442336695529791
3293,2019-08-23,10414.1441725891,186341802613.53473,100248357674.81354,1.5270712413933376
3294,2019-08-24,10147.0871548802,181583606567.6444,100271285477.48476,1.4409571675770398
3295,2019-08-25,10100.3567783752,180766929096.60895,100307942255.66524,1.42456089947133
3296,2019-08-26,10362.6434723553,185478841998.45175,100403697141.15907,1.504848825796666
3297,2019-08-27,10168.221571654,182016082925.0255,100479294233.60732,1.4409547840412664
3298,2019-08-28,9724.79997808299,174096977545.78088,100467874842.15248,1.3001734969720082
3299,2019-08-29,9482.31173495032,169775420311.1297,100396509350.31714,1.2242214469093802
3300,2019-08-30,9577.67882349503,171502069368.00293,100406344810.71487,1.253567867771871
3301,2019-08-31,9605.02446142607,172011662642.11743,100411275447.8486,1.2615069288263387
3302,2019-09-01,9762.93655689655,174857084002.30045,100470824154.54872,1.3095483373185934
3303,2019-09-02,10377.3383845704,185880530419.25247,100615656240.04086,1.4996447928515404
3304,2019-09-03,10618.7815058445,190227066389.19412,100775913801.46248,1.5716925175616223
3305,2019-09-04,10577.2410839275,189500883917.76953,100870750603.8426,1.5557238033085756
3306,2019-09-05,10580.1846995909,189575443097.72943,100977848803.13934,1.5536150251175451
3307,2019-09-06,10330.8497312098,185128269781.99695,101791311205.85706,1.4600191997509535
3308,2019-09-07,10494.5069649328,188080675780.7418,101869391453.92532,1.5089245140106886
3309,2019-09-08,10407.2656573933,186540178754.5565,101927999320.86807,1.4795499407185355
3310,2019-09-09,10332.4644424313,185218296015.9803,101964334449.78624,1.4544686708524075
3311,2019-09-10,10085.9519243133,180822293027.25992,101971103098.56664,1.3763787932001472
3312,2019-09-11,10142.1480603741,181853111799.80823,102289711746.52122,1.3876129440672609
3313,2019-09-12,10403.3599707773,186557301236.39035,102375283798.7851,1.4668054926526624
3314,2019-09-13,10345.3387469316,185536238456.2605,102446204174.48814,1.446464496939303
3315,2019-09-14,10363.4528963179,185881181937.517,102493979270.52933,1.4503173273078962
3316,2019-09-15,10306.1696674459,184872674869.063,102531009872.61,1.4308541032234772
3317,2019-09-16,10257.822761543,184026325554.38516,102558720221.00008,1.41442190733646
3318,2019-09-17,10195.6111811806,182929105708.25937,102603264893.06612,1.3933982526174638
3319,2019-09-18,10161.3188664524,182335935716.18332,102743325200.59525,1.3795050451991455
3320,2019-09-19,10268.3926291642,184276276801.3885,102789055536.06326,1.4111082807767914
3321,2019-09-20,10170.1251161309,182531966968.9881,102818072514.9772,1.37922945340054
3322,2019-09-21,9986.4061081239,179255325993.93018,102834010575.03188,1.321200116112459
3323,2019-09-22,10047.0134748685,180364071752.29187,102860345138.0864,1.3388224398568471
3324,2019-09-23,9692.74104792519,174017982272.55078,102822945894.9559,1.2289461494859752
3325,2019-09-24,8613.67124850965,154661878668.1824,102592652984.79196,0.8983508603498589
3326,2019-09-25,8424.15764640561,151275513993.90555,102366330957.40598,0.8434380245558983
3327,2019-09-26,8091.69529924021,145322668577.63486,102012008373.25735,0.7465902755506153
3328,2019-09-27,8186.77963927528,147043842404.28403,102019053507.91368,0.775812691097616
3329,2019-09-28,8201.97901344243,147333141826.78943,101966099546.19594,0.7813803303985644
3330,2019-09-29,8064.50806236119,144877444156.05566,101939308938.74889,0.739252916441797
3331,2019-09-30,8282.3654541204,148804672056.19727,101923728175.68892,0.8067841631087154
3332,2019-10-01,8314.55139012273,149397801199.3999,101847186519.23828,0.8179487703512612
3333,2019-10-02,8362.53073232028,150275375907.1944,101843804442.238,0.8327296098660956
3334,2019-10-03,8254.33991028638,148346345146.03116,101800990831.24371,0.7999562786544745
3335,2019-10-04,8165.68615125658,146768071236.7105,101772166663.54262,0.773009182302699
3336,2019-10-05,8141.63371379311,146351838259.90878,101777505372.30309,0.7654564112181242
3337,2019-10-06,7854.60981297487,141207002308.5382,101739943173.06676,0.6775109366855476
3338,2019-10-07,8226.02342928112,147900064188.48856,101758771532.15463,0.7917522637639571
3339,2019-10-08,8190.1151207481,147271034533.7954,101767145301.41388,0.7804933729886055
3340,2019-10-09,8598.3319207481,154626240944.59998,101808060449.7542,0.905509340863416
3341,2019-10-10,8578.09037931034,154279602198.55557,101816925994.25034,0.8989816331291082
3342,2019-10-11,8289.85402893045,149111747718.45285,101780791618.21472,0.810699882027522
3343,2019-10-12,8323.7501440678,149735284139.71307,101799704745.72112,0.8207009934261069
3344,2019-10-13,8291.25065143191,149165370302.59067,101795797327.11784,0.8106651602961606
3345,2019-10-14,8346.36843658679,150171062118.72095,102272524104.43048,0.8193611712810529
3346,2019-10-15,8160.71262752776,146846278957.67886,102194333118.8017,0.7635181868637498
3347,2019-10-16,8003.85592314436,144038059874.82785,102138217308.9806,0.7161919583048889
3348,2019-10-17,8072.48938229106,145288329257.20413,102118222266.75018,0.7376211709826828
3349,2019-10-18,7959.33199357101,143267645929.95047,102088840852.1814,0.703340985199046
3350,2019-10-19,7948.47733722969,143086371113.0604,102098435526.93616,0.6998278991953693
3351,2019-10-20,8213.70903927528,147875991559.96127,102127870522.2621,0.7807856440338542
3352,2019-10-21,8211.65455873758,147855324262.75677,102097577699.95984,0.7806332013973867
3353,2019-10-22,8029.20537288136,144587188742.30508,102067248575.6814,0.7251251417569906
3354,2019-10-23,7458.03585680889,134317425000.87424,101873556157.92831,0.5531356347980639
3355,2019-10-24,7454.37113816482,134263817194.97649,101684534238.7554,0.5552897486377337
3356,2019-10-25,8656.65517755699,155933593974.3003,101898536361.75278,0.9205417619412878
3357,2019-10-26,9249.64676095851,166631424851.38297,102203134119.01132,1.0969430002333176
3358,2019-10-27,9558.15604400935,172202927363.76608,102302524518.4823,1.1893216814879306
3359,2019-10-28,9319.17814167154,167913031388.75757,102488989572.1853,1.1124785285659264
3360,2019-10-29,9431.20712390415,169947249929.75278,102646973530.817,1.1436581865308446
3361,2019-10-30,9182.85506516657,165487408810.19406,102676405316.94627,1.0667508485658443
3362,2019-10-31,9155.27729877265,165005526546.4048,102718051419.65408,1.0572527505631604
3363,2019-11-01,9251.38129345412,166752641957.05685,102889964316.29758,1.0833485124220346
3364,2019-11-02,9300.19083752192,167647993311.90967,102932856757.63098,1.0971504234062133
3365,2019-11-03,9209.63869608416,166031560229.59714,102943649290.25522,1.0689421973245734
3366,2019-11-04,9418.36013062537,169809934938.25842,103013621727.29156,1.1310724938519066
3367,2019-11-05,9330.78722296902,168247819637.76404,102745945704.27933,1.1084853327165782
3368,2019-11-06,9354.93338229106,168698646050.50748,102776012760.95834,1.1149297454992635
